evolucion,id_proyecto,origen,presentado_por,tipo,titulo
:CAMARA_ENTRADA:CAMARA_APRUEBA:CAMARA_APRUEBA,125462,CSS,"Agazzi, Ernesto; Alonso, Verónica; Camy Antognazza, Carlos Daniel; Coutinho Rodríguez, Germán; Delgado, Alvaro; Eguiluz, Cecilia; García, Javier; Lacalle Pou, Luis Alberto; Larrañaga, Jorge; Martínez Huelmo, Rubén; Mieres, Pablo; Montaner, Martha; Mujica, José; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",PROYECTO DE RESOLUCION,"SINGLET, Manuel. FALLECIMIENTO. HOMENAJE."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,124777,CSS,"Alonso, Verónica; Enciso Christiansen, Carlos",PROYECTO DE LEY,"ORIBE, Josefa. ESCUELA Nº 183 (MONTEVIDEO). DENOMINACIÓN."
:CAMARA_ENTRADA,124439,CSS,"Alonso, Verónica; Fernández Farias, Eduardo; Martínez Huelmo, Rubén; Payssé, Daniela; Saravia, Jorge",PROYECTO DE MINUTA DE COMUNICACION,"CIENCIA, TECNOLOGÍA E INNOVACIÓN. MINISTERIO. CREACIÓN."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,123873,CSS,"Alonso, Verónica; Aviaga Martínez, María Carol; Delgado, Alvaro; Enciso Christiansen, Carlos; García, Javier; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Moreira, Carlos",PROYECTO DE LEY,PACIENTES CON TRATAMIENTO MEDICO EN EL EXTERIOR. TRASLADO. MILLAS PASAJES OFICIALES. USO.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,143021,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MENORES INSTITUCIONALIZADOS. COSTO MENSUAL. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,143023,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ARMAS FUEGO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,143019,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MENORES INFRACTORES. REHABILITACIÓN. COSTO MENSUAL. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,141805,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ADOLESCENTES PRIVADOS DE LIBERTAD. SITUACIÓN. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,139765,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MENORES. ADOPCIÓN. PROCESO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,136897,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MICROCHIP CANINO. IMPLANTACIÓN. REGISTRO. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,135629,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,PERSONAS CON DISCAPACIDAD. ORGANISMOS PÚBLICOS. INGRESOS. CUMPLIMIENTO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_AMPLIACION_17673:PEDIDO_INFORME_RESPUESTA,135191,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,COMISIÓN ZOONOSIS (NACIONAL HONORARIA). CASTRACIONES. VENTA PATENTES. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,135133,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,AFE. SITUACION FINANCIERO-CONTABLE. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,134493,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,CAJA PROFESIONALES UNIVERSITARIOS. DIVERSOS ASPECTOS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA:PEDIDO_INFORME_RESPUESTA,134373,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,134275,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,FONDO DE SOLIDARIDAD. FUNCIONAMIENTO. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,134270,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,TRABAJO INFANTIL Y ADOLESCENTE. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,129398,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,MIDES. PERSONAS EN SITUACIÓN DE CALLE. REFUGIOS. INFORMES
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,129297,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,PROTECCIÓN INTEGRAL. DISCAPACIDAD. LEY Nº 18.651. REGLAMENTACIÓN. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,128543,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,SISTEMA NACIONAL DE CUIDADOS. IMPLEMENTACIÓN. INFORME.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,128544,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,INAU. ADOPCIÓN. PROCESO. INFORME.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,127070,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,PENSIÓN POR INVALIDEZ. OTORGAMIENTO. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,125763,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,PERSONAS CAPACIDADES DIFERENTES. ORGANISMOS PÚBLICOS. INGRESO (LEY 18651). CUMPLIMIENTO.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,125766,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ADOPCIÓN. CÓDIGO NIÑEZ Y ADOLESCENCIA. CUMPLIMIENTO. NORMAS. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,125767,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,SIRPA. ESTABLECIMIENTOS. RECLUSIÓN. CONDICIONES. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,123841,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ANTEL. PUBLICIDAD Y DONACIONES. INFORMES.
:CAMARA_ENTRADA,123840,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,PUBLICIDAD OFICIAL. GASTOS. DONACIONES. (2013-2014)ANTEL.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO,123842,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ÁREA DEFENSA CONSUMIDOR (ADECO). CLIENTES ANTEL. PETICIONES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,123844,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,ANCAP. PUBLICIDAD Y DONACIONES. INFORMES.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,123843,CSS,"Alonso, Verónica",PEDIDO DE INFORMES,FONDES. BROU. FONDOS. TRANSFERENCIAS.
:CAMARA_ENTRADA:PEDIDO_INFORME_ENVIO:PEDIDO_INFORME_RESPUESTA,131186,CSS,"Agazzi, Ernesto",PEDIDO DE INFORMES,ASOCIACIÓN RURAL DEL URUGUAY. PADRÓN INMUEBLE (PRADO). ESTADOS CONTABLES. TRIBUNAL DE CUENTAS. PRESENTACIÓN.
:CAMARA_ENTRADA:CAMARA_APRUEBA,133188,CSS,"Agazzi, Ernesto",RESOLUCION,"AGAZZI, Ernesto. SENADOR REPUBLICA. RENUNCIA."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_POSTERGA,132804,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",PROYECTO DE LEY,ENTES AUTÓNOMOS. SERVICIOS DESCENTRALIZADOS. GIRO. MODIFICACIÓN.
:CAMARA_ENTRADA,132477,CSS,"Agazzi, Ernesto; Amorín, José; Delgado, Alvaro; Heber, Luis Alberto; Mieres, Pablo",DECLARACION,REPÚBLICA ITALIANA. TERREMOTOS. SOLIDARIDAD. MANIFESTACIONES.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_POSTERGA:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE,132117,CSS,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",LEY,INGENIERO RICARDO ROSA. TRAMO RUTA 67 (DESDE ELIAS REGULES HASTA SAUCE). DENOMINACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE,132114,CSS,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",LEY,"TOSCANINI, JUAN. TRAMO RUTA 69 (DESDE INTERSECCION CON RUTAS 67 Y 68 HASTA INTERSECCION CON RUTA 32). DENOMINACION."
,132139,AG,"Agazzi, Ernesto; Aristimuño, Saúl; Barreiro, Gabriela; Civila, Gonzalo; De los Santos, Oscar; Garin De Nardo, Daniel; Mahía, José Carlos; Michelini, Rafael; Mier, Sergio; Moreira, Constanza; Posada, Iván; Pozzi, Jorge; Reutor, Carlos; Sanseverino, Berta; Santalla, Mercedes; Tourné, Daisy; Viel, Stella",PROYECTO DE RESOLUCION,CONVENCION NACIONAL TRABAJADORES (CNT).  50° ANIVERSARIO FUNDACION. CONMEMORACION. CONVOCATORIA.
:COMISION_INFORMA,131836,AG,"Agazzi, Ernesto; Ayala, Patricia; Baráibar, Carlos; Berterreche, Andrés; Chiazzaro, Roberto; De León, Leonardo; Gelman, Macarena; Lazo, Sandra; Mahía, José Carlos; Moreira, Constanza; Passada, Ivonne; Pelegrín, Mariela; Querejeta, José; Sabini, Sebastián; Santalla, Mercedes",PROYECTO DE RESOLUCION,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,131029,CSS,"Agazzi, Ernesto; Aristimuño, Saúl; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Mujica, José; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",LEY,PRODUCCION BASES AGROECOLOGICAS. INTERES GENERAL. DECLARACION. COMISION HONORARIA NACIONAL. CREACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,130766,CSS,"Agazzi, Ernesto; Aristimuño, Saúl; Ayala, Patricia; De León, Leonardo; Gallicchio Queirolo, Antonio; Gomori Rettich, Eva Cristina; Lorier, Eduardo; Martínez Huelmo, Rubén; Mujica, José; Pardiñas, Yeru; Passada, Ivonne; Paternain Rodríguez, Rafael; Pintado, Enrique; Pintos Ruiz, Julio Miguel; Topolansky, Lucía",PROYECTO DE LEY,CODIGO CIVIL. MATRIMONIO. EDAD MÍNIMA. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:PASE_ARCHIVO,130280,CSS,"Agazzi, Ernesto; Ayala, Patricia; Baráibar, Carlos; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN."
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,129742,CSS,"Agazzi, Ernesto",PROYECTO DE RESOLUCION,REGLAMENTO CÁMARA SENADORES. DISPOSICIONES. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:CAMARA_URGENCIA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,128446,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Tourné, Daisy",LEY,MOSQUITO AEDES AEGYPTI. FUMIGACION PREDIOS BALDÍOS Y FINCAS ABANDONADAS. INGRESO. AUTORIZACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_INFORMA:CAMARA_APRUEBA,128332,CSS,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Topolansky, Lucía; Tourné, Daisy",RESOLUCION,EX LEGISLADORES ZELMAR MICHELINI Y HECTOR GUTIERREZ RUIZ. DISCURSOS PARLAMENTARIOS. RECOPILACION Y EDICION
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,127268,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Martínez Huelmo, Rubén; Meléndez, Lauro; Michelini, Rafael; Moreira, Constanza; Mujica, Gonzalo; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",PROYECTO DE LEY,INSTITUCIÓN NACIONAL DERECHOS HUMANOS . CREACIÓN. MODIFICACIÓN.
:CAMARA_APRUEBA:COMISION_ENTRADA,125989,AG,"Agazzi, Ernesto; Cardoso, José Carlos",RESOLUCION,ALIMENTACIÓN. DERECHO. COMISIÓN ESPECIAL. CREACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA,125290,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",PROYECTO DE LEY,INMUEBLES RURALES. DERECHO PROPIEDAD. TITULARIDAD. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO,125289,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",PROYECTO DE LEY,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. TRABAJO. MODIFICACIÓN.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:PROMULGA_PE:PASE_ARCHIVO,125291,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",LEY,PUERTO JOSE CARBAJAL EL SABALERO. PUERTO SAUCE (COLONIA). DENOMINACION. MODIFICACION.
:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_APRUEBA:COMISION_INFORMA:CAMARA_DISCUCION:CAMARA_DISCUCION:CAMARA_APRUEBA:CAMARA_ENTRADA:PASE_COMISION:COMISION_ENTRADA:COMISION_ENTRADA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_TRATAMIENTO:COMISION_POSTERGA:COMISION_TRATAMIENTO:COMISION_APRUEBA,125293,CSS,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",PROYECTO DE LEY,ESPACIO COSTERO OCEANO ATLANTICO Y RIO DE LA PLATA. USO. REGULACION.
