,id_senador,nombre,lema,email
39,9927,"Facello, Guillermo",PARTIDO COLORADO,gfacello@parlamento.gub.uy
40,10721,"Falero, José Luis",PARTIDO NACIONAL,
41,10000,"Fernández Farias, Eduardo",,mxavier@parlamento.gub.uy
42,9997,"Ferreira, Zulimar",,erodriguez@parlamento.gub.uy
43,11525,"Galán Pérez, Lilián Raquel",PARTIDO FRENTE AMPLIO,lgalan@parlamento.gub.uy
44,7891,"Gallicchio Queirolo, Antonio",PARTIDO FRENTE AMPLIO,
45,260,"Gandini, Jorge",PARTIDO NACIONAL,jgandini@parlamento.gub.uy
46,9689,"García, Graciela",PARTIDO FRENTE AMPLIO,
47,2965,"García, Javier",PARTIDO NACIONAL,jgarcia@parlamento.gub.uy
48,10001,"Garin De Nardo, Daniel",PARTIDO FRENTE AMPLIO,daniel.garin@parlamento.gub.uy
49,11529,"Gomori Rettich, Eva Cristina",,
50,197,"Heber, Luis Alberto",PARTIDO NACIONAL,laheber@parlamento.gub.uy
51,3107,"Iglesias Rodríguez, Alberto Walter",PARTIDO COLORADO,aiglesias@parlamento.gub.uy
52,10142,"Iglesias, Alberto Martín",PARTIDO COLORADO,
53,2873,"Iturralde Viñas, Pablo",PARTIDO NACIONAL,piturralde@parlamento.gub.uy
54,5167,"Lacalle Pou, Luis Alberto",PARTIDO NACIONAL,llacalle@parlamento.gub.uy
55,7740,"Lafluf, Omar",PARTIDO NACIONAL,olafluf@parlamento.gub.uy
56,2887,"Laguarda, Manuel",PARTIDO FRENTE AMPLIO,
57,6839,"Lamorte, Aldo",PARTIDO NACIONAL,rcharamelo@parlamento.gub.uy
58,4500,"Larrañaga, Jorge",PARTIDO NACIONAL,jlarranaga@parlamento.gub.uy
59,9715,"Laventure, Martín",PARTIDO NACIONAL,nrodriguez@parlamento.gub.uy
60,10008,"Lazo, Sandra",PARTIDO FRENTE AMPLIO,
61,9982,"López Villalba, Daniel",PARTIDO NACIONAL,aperdomo@parlamento.gub.uy
62,6661,"Lorier, Eduardo",,mcarambula@parlamento.gub.uy
63,11526,"Lústemberg Haro, María Cristina",PARTIDO FRENTE AMPLIO,clustemberg@parlamento.gub.uy
64,408,"Martínez Huelmo, Rubén",PARTIDO FRENTE AMPLIO,rmartinez@parlamento.gub.uy
65,7889,"Martínez Villamil, Daniel Carlos",,dmartinez@parlamento.gub.uy
66,9897,"Matiaude, Graciela",PARTIDO COLORADO,gmatiaude@parlamento.gub.uy
67,8463,"Meléndez, Lauro",PARTIDO FRENTE AMPLIO,
68,423,"Michelini, Rafael",PARTIDO FRENTE AMPLIO,secrm@parlamento.gub.uy
69,327,"Mieres, Pablo",PARTIDO INDEPENDIENTE,pmieres@parlamento.gub.uy
70,2945,"Montaner, Martha",,mmontaner@parlamento.gub.uy
71,290,"Moreira, Carlos",,
72,9974,"Moreira, Constanza",PARTIDO FRENTE AMPLIO,constanzamoreira@parlamento.gub.uy
73,7751,"Mujica, Gonzalo",,
74,2911,"Mujica, José",PARTIDO FRENTE AMPLIO,jmujica@parlamento.gub.uy
75,11537,"Olano Rodríguez, Celina Walkiria",PARTIDO COLORADO,
76,3750,"Olesker, Daniel",PARTIDO FRENTE AMPLIO,
77,11523,"Otheguy Vega, Marcos Javier",PARTIDO FRENTE AMPLIO,motheguy@parlamento.gub.uy
78,9038,"Pardiñas, Yeru",PARTIDO FRENTE AMPLIO,ypardinas@parlamento.gub.uy
79,7769,"Passada, Ivonne",,ipassada@parlamento.gub.uy
80,8458,"Paternain Rodríguez, Rafael",PARTIDO FRENTE AMPLIO,constanzamoreira@parlamento.gub.uy
81,5262,"Payssé, Daniela",,dpaysse@parlamento.gub.uy
82,5165,"Peña Fernández, Daniel",PARTIDO NACIONAL,dpena@parlamento.gub.uy
83,7765,"Peña Hernández, Adriana",,apenia@parlamento.gub.uy
84,11536,"Pesce Olivera, Viviana",PARTIDO COLORADO,gcoutinho@parlamento.gub.uy
85,11530,"Piñeiro Rodríguez, Viviana Adalgisa",PARTIDO FRENTE AMPLIO,
86,467,"Piñeyrúa Olmos, Ana Lía",PARTIDO NACIONAL,apineyrua@parlamento.gub.uy
87,2903,"Pintado, Enrique",PARTIDO FRENTE AMPLIO,epintado@parlamento.gub.uy
88,5310,"Pintos Ruiz, Julio Miguel",PARTIDO FRENTE AMPLIO,
89,2912,"Posada, Iván",PARTIDO INDEPENDIENTE,iposada@parlamento.gub.uy
90,11532,"Preve Cocco, Federico Mariano",PARTIDO FRENTE AMPLIO,
91,8344,"Ramos, Conrado",PARTIDO INDEPENDIENTE,pmieres@parlamento.gub.uy
92,8929,"Reyes Escudero, María Cristina",PARTIDO NACIONAL,
93,11030,"Ribero, María Sara",PARTIDO FRENTE AMPLIO,epintado@parlamento.gub.uy
94,7766,"Saravia, Jorge",PARTIDO NACIONAL,jsaravia@parlamento.gub.uy
95,5127,"Sendic, Raúl",,
96,5137,"Silveira, Julio C.",PARTIDO NACIONAL,jsilveira@parlamento.gub.uy
97,9167,"Simois, Mabel",PARTIDO FRENTE AMPLIO,
98,11528,"Suárez Bertora, Michelle",,
99,5246,"Topolansky, Lucía",,ltopolansky@parlamento.gub.uy
100,898,"Tourné, Daisy",PARTIDO FRENTE AMPLIO,dtourne@parlamento.gub.uy
101,11755,"Vassallo, Miguel",PARTIDO FRENTE AMPLIO,
102,12394,"Vellozas, Helena",PARTIDO FRENTE AMPLIO,
103,196,"Viera Duarte, Tabaré",PARTIDO COLORADO,tviera@parlamento.gub.uy
104,3238,"Xavier, Mónica",PARTIDO FRENTE AMPLIO,mxavier@parlamento.gub.uy
105,5539,"Yavarone, Roberto",,
106,11539,"Zaffaroni Castilla, María Cecilia",PARTIDO INDEPENDIENTE,
