cuerpo,email,id_legislador,lema,nombre
SENADO,jcastillo@parlamento.gub.uy,3157,PARTIDO FRENTE AMPLIO,"Castillo, Juan"
,gcersosimo@parlamento.gub.uy,509,,"Cersósimo, Gustavo"
SENADO,gcoutinho@parlamento.gub.uy,9969,PARTIDO COLORADO,"Coutinho Rodríguez, Germán"
,sdasilva@parlamento.gub.uy,5304,,"Da Silva, Sebastián"
SENADO,ldeleon@parlamento.gub.uy,11383,PARTIDO FRENTE AMPLIO,"De León, Leonardo"
SENADO,adelgado@parlamento.gub.uy,3948,PARTIDO NACIONAL,"Delgado, Alvaro"
,,10161,,"Draper Praderio, Alejandro"
REPRESENTANTE,ceguiluz@parlamento.gub.uy,9964,PARTIDO COLORADO,"Eguiluz, Cecilia"
,cenciso@parlamento.gub.uy,7737,,"Enciso Christiansen, Carlos"
REPRESENTANTE,gfacello@parlamento.gub.uy,9927,PARTIDO COLORADO,"Facello, Guillermo"
,,10721,,"Falero, José Luis"
,mxavier@parlamento.gub.uy,10000,,"Fernández Farias, Eduardo"
,erodriguez@parlamento.gub.uy,9997,,"Ferreira, Zulimar"
REPRESENTANTE,lgalan@parlamento.gub.uy,11525,PARTIDO FRENTE AMPLIO,"Galán Pérez, Lilián Raquel"
,,7891,,"Gallicchio Queirolo, Antonio"
REPRESENTANTE,jgandini@parlamento.gub.uy,260,PARTIDO NACIONAL,"Gandini, Jorge"
,,9689,,"García, Graciela"
SENADO,jgarcia@parlamento.gub.uy,2965,PARTIDO NACIONAL,"García, Javier"
SENADO,daniel.garin@parlamento.gub.uy,10001,PARTIDO FRENTE AMPLIO,"Garin De Nardo, Daniel"
,,11529,,"Gomori Rettich, Eva Cristina"
SENADO,laheber@parlamento.gub.uy,197,PARTIDO NACIONAL,"Heber, Luis Alberto"
,aiglesias@parlamento.gub.uy,3107,,"Iglesias Rodríguez, Alberto Walter"
,,10142,,"Iglesias, Alberto Martín"
REPRESENTANTE,piturralde@parlamento.gub.uy,2873,PARTIDO NACIONAL,"Iturralde Viñas, Pablo"
SENADO,llacalle@parlamento.gub.uy,5167,PARTIDO NACIONAL,"Lacalle Pou, Luis Alberto"
REPRESENTANTE,olafluf@parlamento.gub.uy,7740,PARTIDO NACIONAL,"Lafluf, Omar"
,,2887,,"Laguarda, Manuel"
,rcharamelo@parlamento.gub.uy,6839,,"Lamorte, Aldo"
SENADO,jlarranaga@parlamento.gub.uy,4500,PARTIDO NACIONAL,"Larrañaga, Jorge"
,nrodriguez@parlamento.gub.uy,9715,,"Laventure, Martín"
SENADO,sandra.lazo@parlamento.gub.uy,10008,PARTIDO FRENTE AMPLIO,"Lazo, Sandra"
,aperdomo@parlamento.gub.uy,9982,,"López Villalba, Daniel"
,mcarambula@parlamento.gub.uy,6661,,"Lorier, Eduardo"
REPRESENTANTE,clustemberg@parlamento.gub.uy,11526,PARTIDO FRENTE AMPLIO,"Lústemberg Haro, María Cristina"
SENADO,rmartinez@parlamento.gub.uy,408,PARTIDO FRENTE AMPLIO,"Martínez Huelmo, Rubén"
,dmartinez@parlamento.gub.uy,7889,,"Martínez Villamil, Daniel Carlos"
REPRESENTANTE,gmatiaude@parlamento.gub.uy,9897,PARTIDO COLORADO,"Matiaude, Graciela"
,,8463,,"Meléndez, Lauro"
SENADO,secrm@parlamento.gub.uy,423,PARTIDO FRENTE AMPLIO,"Michelini, Rafael"
SENADO,pmieres@parlamento.gub.uy,327,PARTIDO INDEPENDIENTE,"Mieres, Pablo"
,mmontaner@parlamento.gub.uy,2945,,"Montaner, Martha"
,,290,,"Moreira, Carlos"
SENADO,constanzamoreira@parlamento.gub.uy,9974,PARTIDO FRENTE AMPLIO,"Moreira, Constanza"
,,7751,,"Mujica, Gonzalo"
SENADO,jmujica@parlamento.gub.uy,2911,PARTIDO FRENTE AMPLIO,"Mujica, José"
,,11537,,"Olano Rodríguez, Celina Walkiria"
,,3750,,"Olesker, Daniel"
SENADO,motheguy@parlamento.gub.uy,11523,PARTIDO FRENTE AMPLIO,"Otheguy Vega, Marcos Javier"
SENADO,ypardinas@parlamento.gub.uy,9038,PARTIDO FRENTE AMPLIO,"Pardiñas, Yeru"
SENADO,ipassada@parlamento.gub.uy,7769,PARTIDO FRENTE AMPLIO,"Passada, Ivonne"
,constanzamoreira@parlamento.gub.uy,8458,,"Paternain Rodríguez, Rafael"
,dpaysse@parlamento.gub.uy,5262,,"Payssé, Daniela"
REPRESENTANTE,dpena@parlamento.gub.uy,5165,PARTIDO NACIONAL,"Peña Fernández, Daniel"
,apenia@parlamento.gub.uy,7765,,"Peña Hernández, Adriana"
,gcoutinho@parlamento.gub.uy,11536,,"Pesce Olivera, Viviana"
,,11530,,"Piñeiro Rodríguez, Viviana Adalgisa"
,apineyrua@parlamento.gub.uy,467,,"Piñeyrúa Olmos, Ana Lía"
,epintado@parlamento.gub.uy,2903,,"Pintado, Enrique"
,,5310,,"Pintos Ruiz, Julio Miguel"
REPRESENTANTE,iposada@parlamento.gub.uy,2912,PARTIDO INDEPENDIENTE,"Posada, Iván"
,,11532,,"Preve Cocco, Federico Mariano"
,pmieres@parlamento.gub.uy,8344,,"Ramos, Conrado"
,,8929,,"Reyes Escudero, María Cristina"
,epintado@parlamento.gub.uy,11030,,"Ribero, María Sara"
SENADO,jsaravia@parlamento.gub.uy,7766,PARTIDO NACIONAL,"Saravia, Jorge"
,,5127,,"Sendic, Raúl"
,jsilveira@parlamento.gub.uy,5137,,"Silveira, Julio C."
,,9167,,"Simois, Mabel"
,,11528,,"Suárez Bertora, Michelle"
,ltopolansky@parlamento.gub.uy,5246,,"Topolansky, Lucía"
SENADO,dtourne@parlamento.gub.uy,898,PARTIDO FRENTE AMPLIO,"Tourné, Daisy"
SENADO,miguel.vassallo@parlamento.gub.uy,11755,PARTIDO FRENTE AMPLIO,"Vassallo, Miguel"
,,12394,,"Vellozas, Helena"
REPRESENTANTE,tviera@parlamento.gub.uy,196,PARTIDO COLORADO,"Viera Duarte, Tabaré"
SENADO,mxavier@parlamento.gub.uy,3238,PARTIDO FRENTE AMPLIO,"Xavier, Mónica"
,,5539,,"Yavarone, Roberto"
,,11539,,"Zaffaroni Castilla, María Cecilia"
,fruiz@parlamento.gub.uy,11830,,","
REPRESENTANTE,pabdala@parlamento.gub.uy,3062,PARTIDO NACIONAL,"Abdala, Pablo"
,jjolaizola@parlamento.gub.uy,12327,,"Abreu Castillo, Aníbal"
REPRESENTANTE,dpena@parlamento.gub.uy,9934,PARTIDO NACIONAL,"Acosta, Auro"
REPRESENTANTE,htoledo@parlamento.gub.uy,12369,PARTIDO FRENTE AMPLIO,"Acosta, José Luis"
,srios@parlamento.gub.uy,11853,,"Agüero Demetrio, Nelson Leodato"
,lpuig@parlamento.gub.uy,11652,,"Alaluf, Rosario"
,cvidalin@parlamento.gub.uy,11791,,"Algorta Brit, Felipe José"
,piturralde@parlamento.gub.uy,11914,,"Alonso, Jorge"
,ddelossantos@parlamento.gub.uy,11632,,"Alsina, Herman"
,dbianchi@parlamento.gub.uy,11741,,"Alvarez, Martín"
,jyurramendi@parlamento.gub.uy,10076,,"Alvez, Myrian"
REPRESENTANTE,famado_sec@parlamento.gub.uy,9892,PARTIDO COLORADO,"Amado, Fernando"
,ccorrea@parlamento.gub.uy,11646,,"Amado, Florencia"
REPRESENTANTE,gamarilla@parlamento.gub.uy,3959,PARTIDO NACIONAL,"Amarilla, Gerardo"
REPRESENTANTE,crodriguezgalvez@parlamento.gub.uy,11813,PARTIDO FRENTE AMPLIO,"Amaro Vaz, Raúl"
,legallo@parlamento.gub.uy,11966,,"Amengual Menéndez, Rodrigo Andrés"
,,11794,,"Amicone, Vicente"
,aumpierrez@parlamento.gub.uy,11699,,"Amorín, Juan José"
REPRESENTANTE,rchiazzaro@parlamento.gub.uy,11903,PARTIDO FRENTE AMPLIO,"Anastasia, Carmen"
,oandrade@parlamento.gub.uy,9917,,"Andrade, Oscar"
,pgonzalez@parlamento.gub.uy,11630,,"Andrade, Susana"
REPRESENTANTE,sandujar@parlamento.gub.uy,11593,PARTIDO NACIONAL,"Andújar, Sebastián"
,eantia@parlamento.gub.uy,382,,"Antía, Enrique"
,odelossantos@parlamento.gub.uy,5212,,"Araújo, Mary"
,mayala@parlamento.gub.uy,3234,,"Arbiza, Sergio Orlando"
,jtrobo@parlamento.gub.uy,11676,,"Arlegui, Valentina"
REPRESENTANTE,jarocena@parlamento.gub.uy,9953,PARTIDO NACIONAL,"Arocena Argul, José Andrés"
REPRESENTANTE,earrieta@parlamento.gub.uy,11810,PARTIDO NACIONAL,"Arrieta, Elisabeth"
REPRESENTANTE,aasti@parlamento.gub.uy,5851,PARTIDO FRENTE AMPLIO,"Asti, Alfredo"
REPRESENTANTE,mayala@parlamento.gub.uy,11578,PARTIDO NACIONAL,"Ayala, Mario"
,smontaner@parlamento.gub.uy,11855,,"Azambuya, Claudia"
REPRESENTANTE,rbacigalupe@parlamento.gub.uy,3063,PARTIDO NACIONAL,"Bacigalupe Aunés, Rubén Aníbal"
,pabdala@parlamento.gub.uy,11667,,"Bacigalupi, Marcelo"
,erodriguez@parlamento.gub.uy,11620,,"Bacino, Claudia"
,edurubio@parlamento.gub.uy,5979,,"Balparda, Angeles"
,wverri@parlamento.gub.uy,12486,,"Banquerque, Mariana"
,rgonir@parlamento.gub.uy,11893,,"Baranzano, Verónica"
REPRESENTANTE,gbarreiro@parlamento.gub.uy,11586,PARTIDO FRENTE AMPLIO,"Barreiro, Gabriela"
,rchiazzaro@parlamento.gub.uy,11864,,"Barrone, Pablo"
,smontaner@parlamento.gub.uy,11920,,"Barros Pereira, Eduardo"
REPRESENTANTE,jbattistoni@parlamento.gub.uy,7952,PARTIDO FRENTE AMPLIO,"Battistoni, Julio"
,smontaner@parlamento.gub.uy,11892,,"Bellozo, Ximena"
,earrieta@parlamento.gub.uy,10120,,"Bentancor, Jesús"
,,12051,,"Bentancourt, Carlos"
,nolivera@parlamento.gub.uy,12471,,"Bercianos, Manuel"
,acastaingdebat@parlamento.gub.uy,2669,,"Berois Quinteros, Ricardo"
,apena@parlamento.gub.uy,11874,,"Berriel, Sonia"
,rchiazzaro@parlamento.uy,12271,,"Besil, Felipe"
,srios@parlamento.gub.uy,12148,,"Betancurt Pereira, Iris Susana"
REPRESENTANTE,gbianchi@parlamento.gub.uy,8879,PARTIDO NACIONAL,"Bianchi, Graciela"
REPRESENTANTE,rgonir@parlamento.gub.uy,11754,PARTIDO NACIONAL,"Biestro, María Pía"
,ceguiluz@parlamento.gub.uy,10156,,"Bistolfi, Marcelo"
,,11711,,"Borsari, Luis"
REPRESENTANTE,cbottino@parlamento.gub.uy,9942,PARTIDO FRENTE AMPLIO,"Bottino, Cecilia"
,mtierno@parlamento.gub.uy,11697,,"Bozzano Inciarte, Andrés"
,gmatiaude@parlamento.gub.uy,11786,,"Brause, Alejandro"
,rcharamelo@parlamento.gub.uy,11677,,"Britos, Betiana"
,,11789,,"Brum, Santiago"
,jgandini@parlamento.gub.uy,7843,,"Caballero, Irene"
,nrodriguez@parlamento.gub.uy,10278,,"Cabrera de Abásolo, Solana"
,dradio@parlamento.gub.uy,11643,,"Cabrera Pane, Daniel"
,eroselli@parlamento.gub.uy,12027,,"Cáceres, Richard"
,gbarreiro@parlamento.gub.uy,6512,,"Cachón, Carlos"
REPRESENTANTE,dcaggiani@parlamento.gub.uy,9916,PARTIDO FRENTE AMPLIO,"Caggiani, Daniel"
,,11629,,"Camacho, Gabriela"
,fruiz@parlamento.gub.uy,11834,,"Camirotte, Maria del Carmen"
REPRESENTANTE,aumpierrez@parlamento.gub.uy,11782,PARTIDO NACIONAL,"Canclini Otton, Gloria Cristina"
,vrapela@parlamento.gub.uy,9645,,"Cantero Piali, Fitzgerald"
REPRESENTANTE,mmutti@parlamento.gub.uy,11670,PARTIDO FRENTE AMPLIO,"Carballo, Alba"
,,12475,,"Carbonaro, Graciela"
REPRESENTANTE,gcardoso@parlamento.gub.uy,5217,PARTIDO COLORADO,"Cardoso, Germán"
REPRESENTANTE,andres.carrasco@parlamento.gub.uy,11819,PARTIDO INDEPENDIENTE,"Carrasco Briozzo, Andrés"
,glrodriguez@parlamento.gub.uy,11913,,"Carreras, Ernesto"
,nrodriguez@parlamento.gub.uy,6143,,"Casaretto, Federico"
,aperdomo@parlamento.gub.uy,8014,,"Casás, Raúl"
REPRESENTANTE,dradio_sec@parlamento.gub.uy,3257,PARTIDO INDEPENDIENTE,"Castaldi Rodríguez, Carlos Jesús"
,smontaner@parlamento.gub.uy,12069,,"Castro Albernaz, Pablo"
,fcarballo@parlamento.gub.uy,11685,,"Cayetano, Sonia"
,dcaggiani@parlamento.gub.uy,11783,,"Cejas, Camilo"
,bsanseverino@parlamento.gub.uy,12122,,"Cerviño, Sebastián"
REPRESENTANTE,rcharamelo@parlamento.gub.uy,7764,PARTIDO NACIONAL,"Charamelo, Richard"
REPRESENTANTE,rchiazzaro@parlamento.gub.uy,11587,PARTIDO FRENTE AMPLIO,"Chiazzaro, Roberto"
REPRESENTANTE,gcivila@parlamento.gub.uy,11585,PARTIDO FRENTE AMPLIO,"Civila, Gonzalo"
,lpuig@parlamento.gub.uy,9915,,"Coitiño, Carlos"
,jyurramendi@parlamento.gub.uy,11837,,"Collazo, Pablo"
,rbacigalupe@parlamento.gub.uy,11947,,"Conde, María Luisa"
REPRESENTANTE,ccorrea@parlamento.gub.uy,11849,PARTIDO FRENTE AMPLIO,"Correa, Catalina"
,dperez@parlamento.gub.uy,8319,,"Corujo, Carlos"
,rgonir@parlamento.gub.uy,11744,,"Cossia, Gastón"
REPRESENTANTE,afratti@parlamento.gub.uy,8012,PARTIDO FRENTE AMPLIO,"Costa, Beatriz"
,,11678,,"Costa, Eduardo"
,cvarela@parlamento.gub.uy,2913,,"Courtoisie, Gabriel"
,mgelman_sec@parlamento.gub.uy,11768,,"Couto, Martín"
,dperez@parlamento.gub.uy,12121,,"Cruz, María"
,sviel@parlamento.gub.uy,11708,,"Da Rosa, Gustavo"
REPRESENTANTE,adastugue@parlamento.gub.uy,11598,PARTIDO NACIONAL,"Dastugue, Álvaro"
,wverri@parlamento.gub.uy,11910,,"de Benedetti, Mauricio"
,ceguiluz@parlamento.gub.uy,11847,,"de Brum Delgado, Horacio Javier"
REPRESENTANTE,wdeleon@parlamento.gub.uy,3407,PARTIDO FRENTE AMPLIO,"De León, Walter"
REPRESENTANTE,ddelossantos@parlamento.gub.uy,11827,PARTIDO FRENTE AMPLIO,"de los Santos Severgnini, Darcy Amaury"
REPRESENTANTE,jmeroni@parlamento.gub.uy,7403,PARTIDO FRENTE AMPLIO,"De los Santos, Claudia"
,,11707,,"De los Santos, Diego"
REPRESENTANTE,odelossantos@parlamento.gub.uy,659,PARTIDO FRENTE AMPLIO,"De los Santos, Oscar"
,,7884,,"D'Elía Caramella, Lilián"
,ccorrea@parlamento.gub.uy,566,,"Delsa, Paulino"
,,3073,,"Demarco, Mariella"
REPRESENTANTE,piturralde@parlamento.gub.uy,10010,PARTIDO NACIONAL,"Díaz Angüilla, Pablo"
,wverri@parlamento.gub.uy,11933,,"Díaz Barreto, Carina"
REPRESENTANTE,bettiana.diaz@parlamento.gub.uy,11634,PARTIDO FRENTE AMPLIO,"Díaz, Bettiana"
,smontaner@parlamento.gub.uy,10007,,"Dini, Dante"
,jjolaizola@parlamento.gub.uy,11710,,"Domínguez, Angel"
,jyurramendi@parlamento.gub.uy,11766,,"Duarte Couto, Carlos Pablo"
,smier@parlamento.gub.uy,11488,,"Duche, Gabriel"
,sandujar@parlamento.gub.uy,12010,,"Durand, Diego"
,ominetti@parlamento.gub.uy,11639,,"Dutra, Mathias"
,mlgarcia@parlamento.gub.uy,7950,,"Elola, Gastón"
,lpuig@parlamento.gub.uy,11706,,"Estéves, Daniel"
,ominetti@parlamento.gub.uy,11647,,"Estévez, Miguel"
,ceguiluz@parlamento.gub.uy,11705,,"Estévez, Omar"
,adastugue@parlamento.gub.uy,11740,,"Estrada, Ignacio"
REPRESENTANTE,wezquerra@parlamento.gub.uy,11611,PARTIDO NACIONAL,"Ezquerra Alonso, W. Aparicio"
,dradio@parlamento.gub.uy,11649,,"Fagúndez, Rosario"
,afratti@parlamento.gub.uy,11891,,"Fernández Zapater, Johan Carlos"
,apena@parlamento.gub.uy,5669,,"Fernández, Diver"
,,11792,,"Fernández, Nadina"
,aniffouri@parlamento.gub.uy,12233,,"Ferrari, Gletel"
,dradio@parlamento.gub.uy,12149,,"Ferrari, Tatiana"
,aumpierrez@parlamento.gub.uy,10015,,"Ferreira, Angélica"
,rbacigalupe@parlamento.gub.uy,11798,,"Ferrero, Sebastián"
,crodriguezgalvez@parlamento.gub.uy,11945,,"Fleitas, Yanina"
,aumpierrez@parlamento.gub.uy,11749,,"Fontes, Nicolás"
,jolano@parlamento.gub.uy,12448,,"Fort, Yoanna"
,mgelman@parlamento.gub.uy,12352,,"Fossatti, Mariana"
,jumpierrez@parlamento.gub.uy,9901,,"Frachia, Roberto"
,,11641,,"Fraga, Conrado"
,,11856,,"Franco, Fernando"
REPRESENTANTE,afratti@parlamento.gub.uy,6734,PARTIDO FRENTE AMPLIO,"Fratti, Luis Alfredo"
REPRESENTANTE,legallo@parlamento.gub.uy,5150,PARTIDO FRENTE AMPLIO,"Gallo Cantera, Luis Enrique"
REPRESENTANTE,mlgarcia@parlamento.gub.uy,10117,PARTIDO NACIONAL,"García, Mario"
,,2697,,"Gardiol Faedo, Napoleón Adolfo"
REPRESENTANTE,mgelman@parlamento.gub.uy,11588,PARTIDO FRENTE AMPLIO,"Gelman, Macarena"
,jtrobo@parlamento.gub.uy,11413,,"Gianoli, Gabriel"
,mgelman@parlamento.gub.uy,12364,,"Giudice Yañez, Pedro"
REPRESENTANTE,rgonir@parlamento.gub.uy,5938,PARTIDO NACIONAL,"Goñi Reyes, Rodrigo"
,emalan@parlamento.gub.uy,12031,,"Gonnet, Laura"
,iposada@parlamento.gub.uy,8890,,"González Ríos, Luis"
,mtierno@parlamento.gub.uy,9983,,"González Rodríguez, Daniel"
,rchiazzaro@parlamento.gub.uy,11857,,"González, Adriana"
,aniffouri@parlamento.gub.uy,10704,,"González, María del Luján"
,faraujo@parlamento.gub.uy,7414,,"González, Miguel"
REPRESENTANTE,pgonzalez@parlamento.gub.uy,10078,PARTIDO FRENTE AMPLIO,"González, Pablo"
,fruiz@parlamento.gub.uy,1487,,"González, Sebastián"
,,9644,,"Graffigna, Daniel"
,conrodriguez@parlamento.gub.uy,5697,,"Grauert, Elena"
,jmahia@parlamento.gub.uy,10267,,"Griego, Norma"
REPRESENTANTE,ogroba@parlamento.gub.uy,8185,PARTIDO FRENTE AMPLIO,"Groba Arriondo, Oscar"
,pabdala@parlamento.gub.uy,9922,,"Guekdjian, Jorge"
,erodriguez@parlamento.gub.uy,11675,,"Guerrero, Gustavo"
,eroselli@parlamento.gub.uy,11674,,"Hernández, Silvia"
REPRESENTANTE,claudia.hugo@parlamento.gub.uy,11628,PARTIDO FRENTE AMPLIO,"Hugo, Claudia"
,rgonir@parlamento.gub.uy,11869,,"Iafigliola, Carlos"
,gamarilla@parlamento.gub.uy,12444,,"Ichazo, Walker Foch"
,mtierno@parlamento.gub.uy,11653,,"Igarzábal Pérez, Alba Delia"
,earrieta@parlamento.gub.uy,11870,,"Inzaurralde, Ramón"
REPRESENTANTE,birazabal@parlamento.gub.uy,11848,PARTIDO NACIONAL,"Irazábal Calleri, Benjamín Eduardo"
REPRESENTANTE,acastaingdebat@parlamento.gub.uy,11828,PARTIDO NACIONAL,"Irazábal, Diego"
,gbianchi@parlamento.gub.uy,11795,,"Jisdonian, Pedro"
,wdeleon@parlamento.gub.uy,11862,,"Laca García, Tabaré Alejandro"
,lpuig@parlamento.gub.uy,11671,,"Lago, Lucía"
,aniffouri@parlamento.gub.uy,12106,,"Lamónaca, Claudio"
,sandujar@parlamento.gub.uy,11765,,"Lancaster, Elena"
REPRESENTANTE,nlarzabal@parlamento.gub.uy,11590,PARTIDO FRENTE AMPLIO,"Larzábal, Nelson"
,gcivila@parlamento.gub.uy,11829,,"Lasa, Nicolás"
,smontaner@parlamento.gub.uy,11767,,"Leal Alvarez, Auber Agapito"
REPRESENTANTE,mlema@parlamento.gub.uy,11125,PARTIDO NACIONAL,"Lema, Martín"
REPRESENTANTE,wsilvera@parlamento.gub.uy,11638,PARTIDO FRENTE AMPLIO,"Libschitz, Margarita"
,alima@parlamento.gub.uy,9898,,"Lima, Andrés"
,wezquerra@parlamento.gub.uy,11817,,"López De Haro, Alejandro"
,jarocena@parlamento.gub.uy,10300,,"López Méndez, Arturo"
,legallo@parlamento.gub.uy,11650,,"Lorenzoni, Miguel"
,,11831,,"Lussich, Alejandro"
,mayala@parlamento.gub.uy,11868,,"Machado, Omar"
,mgarcia@parlamento.gub.uy,11809,,"Machado, Verónica"
REPRESENTANTE,jmahia@parlamento.gub.uy,2921,PARTIDO FRENTE AMPLIO,"Mahía, José Carlos"
REPRESENTANTE,emalan@parlamento.gub.uy,11584,PARTIDO FRENTE AMPLIO,"Malán, Enzo"
,jmahia@parlamento.gub.uy,4948,,"Márquez, Eduardo"
,,11796,,"Martinelli, Nicolás José"
,dperez@parlamento.gub.uy,12052,,"Martínez, Alejandro"
,famado-sec@parlamento.gub.uy,10964,,"Martínez, Dianne"
,edurubio@parlamento.gub.uy,12048,,"Martínez, Walter Gonzalo"
,fcarballo@parlamento.gub.uy,11668,,"Marzoa Cháves, Washington Daniel"
,olafluf@parlamento.gub.uy,11684,,"Mazzilli, Carlos María"
REPRESENTANTE,emalan@parlamento.gub.uy,11806,PARTIDO FRENTE AMPLIO,"Méndez, Aníbal"
REPRESENTANTE,cmendiondo@parlamento.gub.uy,11583,PARTIDO FRENTE AMPLIO,"Mendiondo, Constante"
,jpozzi@parlamento.gub.uy,8495,,"Mendiondo, Dari"
,wezquerra@parlamento.gub.uy,11859,,"Menéndez, Danilo"
REPRESENTANTE,jmeroni@parlamento.gub.uy,9909,PARTIDO FRENTE AMPLIO,"Meroni, Jorge"
,emier@parlamento.gub.uy,9451,,"Mier Estades, Egardo Dionisio"
,smier@parlamento.gub.uy,8368,,"Mier, Sergio"
REPRESENTANTE,ominetti@parlamento.gub.uy,6806,PARTIDO FRENTE AMPLIO,"Minetti, Orquídea"
,,11752,,"Molina Espinosa, Gloria"
,gbianchi@parlamento.gub.uy,11941,,"Montanari, Gerardina"
REPRESENTANTE,smontaner@parlamento.gub.uy,3412,PARTIDO COLORADO,"Montaner Formoso, Susana"
,rcharamelo@parlamento.gub.uy,11680,,"Monteghirfo, Fabián"
,,7926,,"Monzeglio, Remo"
,smontaner@parlamento.gub.uy,11943,,"Monzón, Juan Martín"
,mayala@parlamento.gub.uy,11669,,"Moraes, Wilma"
,edurubio@parlamento.gub.uy,4155,,"Morales, Héctor"
,jarocena@parlamento.gub.uy,11836,,"Moreira Arroqui, Valeria"
,dperez@parlamento.gub.uy,11687,,"Moreira, Carlos"
,birazabal@parlamento.gub.uy,12272,,"Motta, Marcos"
REPRESENTANTE,mmutti@parlamento.gub.uy,11594,PARTIDO FRENTE AMPLIO,"Mutti Fornaroli, María Manuela"
,mgelman@parlamento.gub.uy,11826,,"Napiloti, Romina"
REPRESENTANTE,olafluf@parlamento.gub.uy,11712,PARTIDO NACIONAL,"Naumov, Julio"
,iposada@parlamento.gub.uy,12224,,"Nieto, Luis"
REPRESENTANTE,aniffouri@parlamento.gub.uy,9896,PARTIDO NACIONAL,"Niffouri Blanco, Amín"
,jarocena@parlamento.gub.uy,11694,,"Nogueira Portillo, Jimena"
REPRESENTANTE,gnovales@parlamento.gub.uy,7744,PARTIDO NACIONAL,"Novales, Gonzalo"
,clustemberg@parlamento.gub.uy,11683,,"Núñez, Elba"
REPRESENTANTE,gerardo.nunez@parlamento.gub.uy,11627,PARTIDO FRENTE AMPLIO,"Núñez, Gerardo"
,aniffouri@parlamento.gub.uy,6138,,"Núñez, José Luis"
REPRESENTANTE,jjolaizola@parlamento.gub.uy,11599,PARTIDO NACIONAL,"Olaizola, Juan José"
REPRESENTANTE,jose.olano@parlamento.gub.uy,7745,PARTIDO NACIONAL,"Olano Llano, José Quintín"
,birazabal@parlamento.gub.uy,11637,,"Olivera González, Flor"
,mariela.pelegrin@parlamento.gub.uy,12269,,"Olivera, Beatriz"
,gamarilla@parlamento.gub.uy,12460,,"Olivera, José María"
,cmendiondo@parlamento.gub.uy,11909,,"Olivera, María José"
REPRESENTANTE,nolivera@parlamento.gub.uy,11329,PARTIDO NACIONAL,"Olivera, Nicolás"
REPRESENTANTE,nrodriguez@parlamento.gub.uy,10303,PARTIDO NACIONAL,"Olmos, Oscar"
,vsemproni@parlamento.gub.uy,11743,,"Ortuño, Santiago"
,gfacello@parlamento.gub.uy,3995,,"Osta, Gustavo"
,jgandini@parlamento.gub.uy,10266,,"Ostria, José Luis"
,wezquerra@parlamento.gub.uy,11976,,"Otegui, Juan Antonio"
,apena@parlamento.gub.uy,11781,,"Otero, Néstor"
,aumpierrez@parlamento.gub.uy,8217,,"Pacheco, Mary"
