entrada_A.G.,entrada_C.P.,entrada_CRR,entrada_CSS,id_proyecto,num_comisiones,num_sesiones,origen,presentado_por,sanciona_A.G.,sanciona_CRR,sanciona_CSS,sanciona_PE,tipo,titulo
,,,2016-06-15 00:00:00,130280,1,1,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Baráibar, Carlos; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",,,,,PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN."
,,,2016-05-18 00:00:00,129742,1,2,Cámara Senadores,"Agazzi, Ernesto",,,,,PROYECTO DE RESOLUCION,REGLAMENTO CÁMARA SENADORES. DISPOSICIONES. MODIFICACIÓN.
,,,2016-03-08 00:00:00,128594,0,1,Cámara Senadores,"Agazzi, Ernesto; Alonso, Verónica; Aviaga Martínez, María Carol; Ayala, Patricia; Berterreche, Andrés; Bianchi, Daniel; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Coutinho Rodríguez, Germán; Delgado, Alvaro; García, Javier; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Lafluf, Omar; Larrañaga, Jorge; Martínez Huelmo, Rubén; Michelini, Rafael; Mieres, Pablo; Passada, Ivonne; Saravia, Jorge; Topolansky, Lucía",,,2016-03-08 00:00:00,,DECLARACION,"CÁCERES, Berta. ORGANIZACIONES POPULARES E INDÍGENAS HONDURAS. PRESIDENTA. ASESINATO. JUSTICIA. RECLAMO. DECLARACIÓN."
,,2018-11-07 00:00:00,2016-08-03 00:00:00,131029,2,5,Cámara Senadores,"Agazzi, Ernesto; Aristimuño, Saúl; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Mujica, José; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,2018-12-11 00:00:00,2018-11-06 00:00:00,2018-12-21 00:00:00,LEY,PRODUCCION BASES AGROECOLOGICAS. INTERES GENERAL. DECLARACION. COMISION HONORARIA NACIONAL. CREACION.
,,,2016-02-16 00:00:00,128332,1,3,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Topolansky, Lucía; Tourné, Daisy",,,2016-03-15 00:00:00,,RESOLUCION,EX LEGISLADORES ZELMAR MICHELINI Y HECTOR GUTIERREZ RUIZ. DISCURSOS PARLAMENTARIOS. RECOPILACION Y EDICION
,,2016-03-16 00:00:00,2016-03-02 00:00:00,128446,2,3,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Tourné, Daisy",,2016-03-16 00:00:00,2016-03-16 00:00:00,2016-03-18 00:00:00,LEY,MOSQUITO AEDES AEGYPTI. FUMIGACION PREDIOS BALDÍOS Y FINCAS ABANDONADAS. INGRESO. AUTORIZACIÓN.
,,,2015-11-10 00:00:00,127268,1,2,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Martínez Huelmo, Rubén; Meléndez, Lauro; Michelini, Rafael; Moreira, Constanza; Mujica, Gonzalo; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,,,,PROYECTO DE LEY,INSTITUCIÓN NACIONAL DERECHOS HUMANOS . CREACIÓN. MODIFICACIÓN.
2015-08-12 00:00:00,,,,125989,0,1,Asamblea General,"Agazzi, Ernesto; Cardoso, José Carlos",2015-09-02 00:00:00,,,,RESOLUCION,ALIMENTACIÓN. DERECHO. COMISIÓN ESPECIAL. CREACIÓN.
,,,2015-07-01 00:00:00,125290,1,2,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,,,,PROYECTO DE LEY,INMUEBLES RURALES. DERECHO PROPIEDAD. TITULARIDAD. MODIFICACIÓN.
,,,2015-07-14 00:00:00,125462,0,3,Cámara Senadores,"Agazzi, Ernesto; Alonso, Verónica; Camy Antognazza, Carlos Daniel; Coutinho Rodríguez, Germán; Delgado, Alvaro; Eguiluz, Cecilia; García, Javier; Lacalle Pou, Luis Alberto; Larrañaga, Jorge; Martínez Huelmo, Rubén; Mieres, Pablo; Montaner, Martha; Mujica, José; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",,,2015-09-01 00:00:00,,PROYECTO DE RESOLUCION,"SINGLET, Manuel. FALLECIMIENTO. HOMENAJE."
,,,2015-07-01 00:00:00,125289,1,1,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,,,,PROYECTO DE LEY,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. TRABAJO. MODIFICACIÓN.
,,2015-08-11 00:00:00,2015-07-01 00:00:00,125291,2,6,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,2017-12-12 00:00:00,2015-08-05 00:00:00,2017-12-22 00:00:00,LEY,PUERTO JOSE CARBAJAL EL SABALERO. PUERTO SAUCE (COLONIA). DENOMINACION. MODIFICACION.
,,2015-06-16 00:00:00,2015-06-16 00:00:00,125014,2,2,Cámara Senadores,"Agazzi, Ernesto; Amorín, José; Ayala, Patricia; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Mujica, José; Pardiñas, Yeru",,2015-06-16 00:00:00,2015-06-16 00:00:00,2015-06-27 00:00:00,LEY,"FRUTAS, FLORES Y HORTALIZAS. IVA. FONDO RECONSTRUCCION Y FOMENTO DE LA GRANJA. FINANCIACION. PRORROGA."
,,2015-11-03 00:00:00,2015-07-01 00:00:00,125293,2,4,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,,2015-10-07 00:00:00,,PROYECTO DE LEY,ESPACIO COSTERO OCEANO ATLANTICO Y RIO DE LA PLATA. USO. REGULACION.
2015-06-10 00:00:00,,,,124969,0,1,Asamblea General,"Agazzi, Ernesto; Berterreche, Andrés; Bianchi, Daniel; Carámbula Volpi, Marcos Gustavo; Carballo Da Costa, Felipe; Castaingdebat, Armando; De León, Leonardo; Gelman, Macarena; Groba Arriondo, Oscar; Mahía, José Carlos; Martínez Huelmo, Rubén; Moreira, Constanza; Mujica, José; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pereyra, Susana; Pintado, Enrique; Pozzi, Jorge; Puig, Luis; Radío, Daniel; Sánchez, Alejandro; Topolansky, Lucía; Verri, Walter; Xavier, Mónica",,,,,PROYECTO DE RESOLUCION,"MASSERA, José Luis. NACIMIENTO (100 AÑOS). CONMEMORACION. HOMENAJE."
,,,2015-04-14 00:00:00,124090,0,1,Cámara Senadores,"Agazzi, Ernesto; Delgado, Alvaro; Mieres, Pablo; Montaner, Martha",,,2015-04-14 00:00:00,,RESOLUCION,"GALEANO, Eduardo. FALLECIMIENTO. HOMENAJE."
2015-06-01 00:00:00,,,,125265,0,2,Asamblea General,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Coutinho Rodríguez, Germán; De León, Leonardo; García, Javier; Martínez Huelmo, Rubén; Mieres, Pablo; Otheguy Vega, Marcos Javier",2015-10-27 00:00:00,,,,RESOLUCION,COMISIONADO PARLAMENTARIO. JUAN MIGUEL PETIT. DESIGNACIÓN. COMISIÓN ESPECIAL. CREACIÓN.
,,2015-11-03 00:00:00,2015-06-16 00:00:00,125018,2,5,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; De León, Leonardo; Martínez Huelmo, Rubén; Meléndez, Lauro; Michelini, Rafael; Mujica, José; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Paternain Rodríguez, Rafael; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,2015-12-21 00:00:00,2015-10-13 00:00:00,2015-12-31 00:00:00,LEY,NACIONALIDAD URUGUAYA. MODIFICACIÓN.
,,2016-05-03 00:00:00,2015-07-01 00:00:00,125292,3,4,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Gallicchio Queirolo, Antonio; Lazo, Sandra; Martínez Huelmo, Rubén; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,,2016-04-13 00:00:00,,PROYECTO DE LEY,OBRAS INTELECTUALES Y ARTÍSTICAS. REPRODUCCIÓN. REGULACIÓN.
,,,2015-04-07 00:00:00,123992,0,1,Cámara Senadores,"Agazzi, Ernesto; Delgado, Alvaro; Larrañaga, Jorge; Mieres, Pablo; Montaner, Martha",,,2015-04-07 00:00:00,,DECLARACION,UNIVERSIDAD GARISSA. ATENTADO. VÍCTIMAS. SOLIDARIDAD. DECLARACIÓN.
,,,2015-04-07 00:00:00,123986,0,1,Cámara Senadores,"Agazzi, Ernesto; Delgado, Alvaro; Mieres, Pablo; Montaner, Martha",,,2015-04-07 00:00:00,,RESOLUCION,SEGURIDAD PÚBLICA Y CONVIVENCIA. COMISIÓN ESPECIAL. DESIGNACIÓN.
2018-03-09 00:00:00,,,,138818,0,1,Asamblea General,"Abdala, Pablo; Alonso, Verónica; Aviaga Martínez, María Carol; Camy Antognazza, Carlos Daniel; Cardoso, José Carlos; Charamelo, Richard; Delgado, Alvaro; Gandini, Jorge; García, Javier; García, Mario; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Lafluf, Omar; Larrañaga, Jorge; López Villalba, Daniel; Niffouri Blanco, Amín; Novales, Gonzalo; Olaizola, Juan José; Rodríguez, Gloria; Roselli, Edmundo; Yurramendi Pérez, José",,,,,PROYECTO DE RESOLUCION,"FERREIRA ALDUNATE, Wilson. FALLECIMIENTO. HOMENAJE."
,,,2016-11-14 00:00:00,132654,1,2,Cámara Senadores,"Alonso, Verónica",,,,,PROYECTO DE LEY,SUBSIDIOS Y LICENCIA MATERNIDAD Y PATERNIDAD TRABAJADOR ACTIVIDAD PRIVADA. REGIMEN. MODIFICACIÓN.
,,2018-02-07 00:00:00,2017-12-06 00:00:00,137830,3,5,Cámara Senadores,"Alonso, Verónica; Amorín, José; Ayala, Patricia; Besozzi, Guillermo; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Carámbula Volpi, Marcos Gustavo; Cardoso, José Carlos; Carrera Leal, Charles; Da Silva, Sebastián; De León, Leonardo; Delgado, Alvaro; Garin De Nardo, Daniel; Heber, Luis Alberto; Larrañaga, Jorge; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Saravia, Jorge; Tourné, Daisy; Xavier, Mónica",,2018-03-07 00:00:00,2017-12-21 00:00:00,2018-03-16 00:00:00,LEY,ENSEÑANZA. ELECCIONES UNIVERSITARIAS. MODIFICACIÓN.
,,2017-12-05 00:00:00,2017-11-07 00:00:00,137375,2,6,Cámara Senadores,"Alonso, Verónica; Amorín, José; Ayala, Patricia; Bordaberry Herrán, Juan Pedro; Carámbula Volpi, Marcos Gustavo; Carrera Leal, Charles; Coutinho Rodríguez, Germán; De León, Leonardo; Delgado, Alvaro; Garin De Nardo, Daniel; Heber, Luis Alberto; Martínez Huelmo, Rubén; Michelini, Rafael; Mieres, Pablo; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,2018-04-03 00:00:00,2017-11-22 00:00:00,2018-04-09 00:00:00,LEY,INGENIERO ELADIO DIESTE SAN MARTÍN. CONMEMORACIÓN CENTENARIO NACIMIENTO. INTERÉS NACIONAL. DECLARACIÓN.
,,,2017-04-27 00:00:00,134583,0,2,Cámara Senadores,"Alonso, Verónica; Amorín, José; Aviaga Martínez, María Carol; Besozzi, Guillermo; Camy Antognazza, Carlos Daniel; Delgado, Alvaro; García, Javier; Lacalle Pou, Luis Alberto; Larrañaga, Jorge; Mieres, Pablo; Saravia, Jorge",,,2017-05-09 00:00:00,,RESOLUCION,HAITÍ. MISION PAZ ONU (MINUSTAH). FUERZAS ARMADAS. RECONOCIMIENTO.
,,,2017-06-13 00:00:00,135267,0,2,Cámara Senadores,"Alonso, Verónica; Amorín, José; Aviaga Martínez, María Carol; Besozzi, Guillermo; Bianchi, Daniel; Bordaberry Herrán, Juan Pedro; Camy Antognazza, Carlos Daniel; Delgado, Alvaro; García, Javier; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Larrañaga, Jorge; Mieres, Pablo; Saravia, Jorge",,,2017-06-21 00:00:00,,RESOLUCION,SECTORES POLITICOS. PRESUNTOS FINANCIAMIENTOS ILEGALES. COMISION PREINVESTIGADORA. CREACION.
,,,2016-10-27 00:00:00,132308,1,2,Cámara Senadores,"Alonso, Verónica; Asiaín, Carmen; Besozzi, Guillermo; Cardoso, José Carlos; García, Javier; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Larrañaga, Jorge; Piñeyrúa Olmos, Ana Lía; Saravia, Jorge",,,,,PROYECTO DE LEY,FUNCIONARIOS POLICIALES. USO LEGAL DE LA FUERZA. LEGITIMA DEFENSA. PRESUNCION. MODIFICACION DEL ARTICULO 26 DEL CODIGO PENAL.
,,,2015-11-03 00:00:00,127178,0,1,Cámara Senadores,"Alonso, Verónica; Amorín, José; Besozzi, Guillermo; Camy Antognazza, Carlos Daniel; Cardoso, José Carlos; Delgado, Alvaro; Eguiluz, Cecilia; Mieres, Pablo",,,2015-11-10 00:00:00,,PROYECTO DE RESOLUCION,VENEZUELA. SITUACIÓN POLÍTICA. EXPOSICION.
,,,2015-10-06 00:00:00,126823,1,1,Cámara Senadores,"Alonso, Verónica; Aviaga Martínez, María Carol; Besozzi, Guillermo; Camy Antognazza, Carlos Daniel; Delgado, Alvaro; García, Javier; Lacalle Pou, Luis Alberto; Larrañaga, Jorge",,,,,PROYECTO DE LEY,ESPACIO COSTERO. ORDENAMIENTO TERRITORIAL Y DESARROLLO SOSTENIBLE. NORMAS.
,,,2015-06-02 00:00:00,124777,1,1,Cámara Senadores,"Alonso, Verónica; Enciso Christiansen, Carlos",,,,,PROYECTO DE LEY,"ORIBE, Josefa. ESCUELA Nº 183 (MONTEVIDEO). DENOMINACIÓN."
,,,2015-05-11 00:00:00,124439,1,1,Cámara Senadores,"Alonso, Verónica; Fernández Farias, Eduardo; Martínez Huelmo, Rubén; Payssé, Daniela; Saravia, Jorge",,,,,PROYECTO DE MINUTA DE COMUNICACION,"CIENCIA, TECNOLOGÍA E INNOVACIÓN. MINISTERIO. CREACIÓN."
,,,2019-03-25 00:00:00,143021,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MENORES INSTITUCIONALIZADOS. COSTO MENSUAL. INFORMES.
,,,2019-03-25 00:00:00,143023,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ARMAS FUEGO. INFORMES.
,,,2019-03-25 00:00:00,143019,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MENORES INFRACTORES. REHABILITACIÓN. COSTO MENSUAL. INFORMES.
,,,2018-11-09 00:00:00,141805,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ADOLESCENTES PRIVADOS DE LIBERTAD. SITUACIÓN. INFORMES
,,,2015-03-24 00:00:00,123873,1,2,Cámara Senadores,"Alonso, Verónica; Aviaga Martínez, María Carol; Delgado, Alvaro; Enciso Christiansen, Carlos; García, Javier; Heber, Luis Alberto; Lacalle Pou, Luis Alberto; Moreira, Carlos",,,,,PROYECTO DE LEY,PACIENTES CON TRATAMIENTO MEDICO EN EL EXTERIOR. TRASLADO. MILLAS PASAJES OFICIALES. USO.
,,,2018-05-16 00:00:00,139765,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MENORES. ADOPCIÓN. PROCESO. INFORMES.
,,,2017-10-03 00:00:00,136897,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MICROCHIP CANINO. IMPLANTACIÓN. REGISTRO. INFORMES
,,,2017-07-10 00:00:00,135629,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,PERSONAS CON DISCAPACIDAD. ORGANISMOS PÚBLICOS. INGRESOS. CUMPLIMIENTO. INFORMES.
,,,2017-06-06 00:00:00,135133,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,AFE. SITUACION FINANCIERO-CONTABLE. INFORMES.
,,,2017-06-08 00:00:00,135191,0,3,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,COMISIÓN ZOONOSIS (NACIONAL HONORARIA). CASTRACIONES. VENTA PATENTES. INFORMES.
,,,2017-04-24 00:00:00,134493,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,CAJA PROFESIONALES UNIVERSITARIOS. DIVERSOS ASPECTOS. INFORMES.
,,,2017-04-06 00:00:00,134373,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.
,,,2017-04-03 00:00:00,134270,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,TRABAJO INFANTIL Y ADOLESCENTE. INFORMES.
,,,2017-04-03 00:00:00,134275,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,FONDO DE SOLIDARIDAD. FUNCIONAMIENTO. INFORMES
,,,2016-05-03 00:00:00,129398,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,MIDES. PERSONAS EN SITUACIÓN DE CALLE. REFUGIOS. INFORMES
,,,2016-03-08 00:00:00,128544,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,INAU. ADOPCIÓN. PROCESO. INFORME.
,,,2016-04-27 00:00:00,129297,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,PROTECCIÓN INTEGRAL. DISCAPACIDAD. LEY Nº 18.651. REGLAMENTACIÓN. INFORMES.
,,,2015-10-28 00:00:00,127070,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,PENSIÓN POR INVALIDEZ. OTORGAMIENTO. INFORMES.
,,,2016-03-08 00:00:00,128543,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,SISTEMA NACIONAL DE CUIDADOS. IMPLEMENTACIÓN. INFORME.
,,,2015-08-04 00:00:00,125766,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ADOPCIÓN. CÓDIGO NIÑEZ Y ADOLESCENCIA. CUMPLIMIENTO. NORMAS. INFORMES.
,,,2015-08-04 00:00:00,125763,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,PERSONAS CAPACIDADES DIFERENTES. ORGANISMOS PÚBLICOS. INGRESO (LEY 18651). CUMPLIMIENTO.
,,,2015-03-20 00:00:00,123840,0,0,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,PUBLICIDAD OFICIAL. GASTOS. DONACIONES. (2013-2014)ANTEL.
,,,2015-03-20 00:00:00,123841,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ANTEL. PUBLICIDAD Y DONACIONES. INFORMES.
,,,2015-08-04 00:00:00,125767,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,SIRPA. ESTABLECIMIENTOS. RECLUSIÓN. CONDICIONES. INFORMES.
,,,2015-03-20 00:00:00,123842,0,1,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ÁREA DEFENSA CONSUMIDOR (ADECO). CLIENTES ANTEL. PETICIONES.
,,,2015-03-20 00:00:00,123843,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,FONDES. BROU. FONDOS. TRANSFERENCIAS.
,,,2015-03-20 00:00:00,123844,0,2,Cámara Senadores,"Alonso, Verónica",,,,,PEDIDO DE INFORMES,ANCAP. PUBLICIDAD Y DONACIONES. INFORMES.
,,,2019-03-14 00:00:00,142825,0,1,Cámara Senadores,"Amorín, José",,,,,PEDIDO DE INFORMES,EMPRESA SHANGDONG BAOMA FISHERY GROUP. PROYECTO MEGAPUERTO PUNTA YEGUAS (MONTEVIDEO). INFORMES
