email,id_senador,lema,nombre
sdasilva@parlamento.gub.uy,5304,,"Da Silva, Sebastián"
ldeleon@parlamento.gub.uy,11383,PARTIDO FRENTE AMPLIO,"De León, Leonardo"
adelgado@parlamento.gub.uy,3948,PARTIDO NACIONAL,"Delgado, Alvaro"
,10161,,"Draper Praderio, Alejandro"
ceguiluz@parlamento.gub.uy,9964,PARTIDO COLORADO,"Eguiluz, Cecilia"
cenciso@parlamento.gub.uy,7737,,"Enciso Christiansen, Carlos"
gfacello@parlamento.gub.uy,9927,PARTIDO COLORADO,"Facello, Guillermo"
,10721,,"Falero, José Luis"
mxavier@parlamento.gub.uy,10000,,"Fernández Farias, Eduardo"
erodriguez@parlamento.gub.uy,9997,,"Ferreira, Zulimar"
lgalan@parlamento.gub.uy,11525,PARTIDO FRENTE AMPLIO,"Galán Pérez, Lilián Raquel"
,7891,,"Gallicchio Queirolo, Antonio"
jgandini@parlamento.gub.uy,260,PARTIDO NACIONAL,"Gandini, Jorge"
,9689,,"García, Graciela"
jgarcia@parlamento.gub.uy,2965,PARTIDO NACIONAL,"García, Javier"
daniel.garin@parlamento.gub.uy,10001,PARTIDO FRENTE AMPLIO,"Garin De Nardo, Daniel"
,11529,,"Gomori Rettich, Eva Cristina"
laheber@parlamento.gub.uy,197,PARTIDO NACIONAL,"Heber, Luis Alberto"
aiglesias@parlamento.gub.uy,3107,,"Iglesias Rodríguez, Alberto Walter"
,10142,,"Iglesias, Alberto Martín"
piturralde@parlamento.gub.uy,2873,PARTIDO NACIONAL,"Iturralde Viñas, Pablo"
llacalle@parlamento.gub.uy,5167,PARTIDO NACIONAL,"Lacalle Pou, Luis Alberto"
olafluf@parlamento.gub.uy,7740,PARTIDO NACIONAL,"Lafluf, Omar"
,2887,,"Laguarda, Manuel"
rcharamelo@parlamento.gub.uy,6839,,"Lamorte, Aldo"
jlarranaga@parlamento.gub.uy,4500,PARTIDO NACIONAL,"Larrañaga, Jorge"
nrodriguez@parlamento.gub.uy,9715,,"Laventure, Martín"
,10008,PARTIDO FRENTE AMPLIO,"Lazo, Sandra"
aperdomo@parlamento.gub.uy,9982,,"López Villalba, Daniel"
mcarambula@parlamento.gub.uy,6661,,"Lorier, Eduardo"
clustemberg@parlamento.gub.uy,11526,PARTIDO FRENTE AMPLIO,"Lústemberg Haro, María Cristina"
rmartinez@parlamento.gub.uy,408,PARTIDO FRENTE AMPLIO,"Martínez Huelmo, Rubén"
dmartinez@parlamento.gub.uy,7889,,"Martínez Villamil, Daniel Carlos"
gmatiaude@parlamento.gub.uy,9897,PARTIDO COLORADO,"Matiaude, Graciela"
,8463,,"Meléndez, Lauro"
secrm@parlamento.gub.uy,423,PARTIDO FRENTE AMPLIO,"Michelini, Rafael"
pmieres@parlamento.gub.uy,327,PARTIDO INDEPENDIENTE,"Mieres, Pablo"
mmontaner@parlamento.gub.uy,2945,,"Montaner, Martha"
,290,,"Moreira, Carlos"
constanzamoreira@parlamento.gub.uy,9974,PARTIDO FRENTE AMPLIO,"Moreira, Constanza"
,7751,,"Mujica, Gonzalo"
jmujica@parlamento.gub.uy,2911,PARTIDO FRENTE AMPLIO,"Mujica, José"
,11537,,"Olano Rodríguez, Celina Walkiria"
,3750,,"Olesker, Daniel"
motheguy@parlamento.gub.uy,11523,PARTIDO FRENTE AMPLIO,"Otheguy Vega, Marcos Javier"
ypardinas@parlamento.gub.uy,9038,,"Pardiñas, Yeru"
ipassada@parlamento.gub.uy,7769,PARTIDO FRENTE AMPLIO,"Passada, Ivonne"
constanzamoreira@parlamento.gub.uy,8458,PARTIDO FRENTE AMPLIO,"Paternain Rodríguez, Rafael"
dpaysse@parlamento.gub.uy,5262,,"Payssé, Daniela"
dpena@parlamento.gub.uy,5165,PARTIDO NACIONAL,"Peña Fernández, Daniel"
apenia@parlamento.gub.uy,7765,,"Peña Hernández, Adriana"
gcoutinho@parlamento.gub.uy,11536,,"Pesce Olivera, Viviana"
,11530,,"Piñeiro Rodríguez, Viviana Adalgisa"
apineyrua@parlamento.gub.uy,467,,"Piñeyrúa Olmos, Ana Lía"
epintado@parlamento.gub.uy,2903,,"Pintado, Enrique"
,5310,,"Pintos Ruiz, Julio Miguel"
iposada@parlamento.gub.uy,2912,PARTIDO INDEPENDIENTE,"Posada, Iván"
,11532,,"Preve Cocco, Federico Mariano"
pmieres@parlamento.gub.uy,8344,,"Ramos, Conrado"
,8929,,"Reyes Escudero, María Cristina"
epintado@parlamento.gub.uy,11030,,"Ribero, María Sara"
jsaravia@parlamento.gub.uy,7766,,"Saravia, Jorge"
,5127,,"Sendic, Raúl"
jsilveira@parlamento.gub.uy,5137,,"Silveira, Julio C."
,9167,,"Simois, Mabel"
,11528,,"Suárez Bertora, Michelle"
ltopolansky@parlamento.gub.uy,5246,,"Topolansky, Lucía"
dtourne@parlamento.gub.uy,898,PARTIDO FRENTE AMPLIO,"Tourné, Daisy"
,11755,PARTIDO FRENTE AMPLIO,"Vassallo, Miguel"
,12394,,"Vellozas, Helena"
tviera@parlamento.gub.uy,196,PARTIDO COLORADO,"Viera Duarte, Tabaré"
mxavier@parlamento.gub.uy,3238,PARTIDO FRENTE AMPLIO,"Xavier, Mónica"
,5539,,"Yavarone, Roberto"
,11539,,"Zaffaroni Castilla, María Cecilia"
